Enumeration_Code,Enumeration_Code_SDMX,Enumeration_Code2,Enumeration_Name,isAttribute,EnumerationValue_Code,EnumerationValue_Code_SDMX,EnumerationValue_Code2,EnumerationValue_Name,EnumerationValue_Type
5,SEX,SEX,Sex,False,FEMALE,F,F,Female,string
5,SEX,SEX,Sex,False,MALE,M,M,Male,string
5,SEX,SEX,Sex,False,BOTHSEX,_T,_T,Total or no breakdown,string
5,SEX,SEX,Sex,False,_N,_N,_N,No response,string
5,SEX,SEX,Sex,False,_O,_O,_O,Other,string
5,SEX,SEX,Sex,False,_U,_U,_U,Unknown,string
5,SEX,SEX,Sex,False,_X,_X,_X,Not available,string
